Scats,longitude,latitude,location
6683,146.538092999549,-38.1954359987153,FRANKLIN NR POST OFFICE PLACE
6684,146.536679999469,-38.1961089990202,SEYMOUR BTN FRANKLIN & CHURCH
5670,148.453753000251,-37.7093989991822,NICHOLSON BTN RAYMOND & LOCHIEL
3567,145.065109999787,-37.8971249994797,MURRUMBEENA/KANGAROO
304,145.211947999784,-38.0316599992706,FRANKSTON-DANDENONG/ABBOTTS
3507,144.881869999658,-37.8571349993867,KOROROIT CREEK NR ADELINE
401,145.312828000383,-37.9967019993713,NARRE WARREN NTH/ERNST WANKE
6408,142.204979000191,-36.7260869994053,WESTERN HWY/WILLIAMS/DUFF
2670,144.823464000008,-37.7616999988395,FURLONG NR CAMPERDOWN
2671,144.828619999468,-37.7623539990797,FURLONG NR FORD
2672,144.799820000471,-37.7454849993811,MCKECHNIE BTN MARSDEN & ENA
4654,145.013490000191,-37.8118359990166,VICTORIA/RIVER
757,145.12514200035,-38.144021999337,YOUNG NR WELLS
943,145.155597999871,-37.9340239987388,SPRINGVALE/SPOTLIGHT CENTRE
445,145.30110999983,-38.0222799991667,PHE/OVERLAND
308,144.830858999615,-38.3710649991373,POINT NEPEAN/HYGEIA
4515,144.945934000412,-37.8147289993986,LATROBE NR HARBOUR
5048,144.36455499962,-38.1451429989885,YARRA/EASTERN BEACH
4527,144.947160999909,-37.8135519989561,WURUNDJERI/TELSTRA DOME N/E ENTRANCE
3417,144.968773999455,-37.7972929992047,ELGIN/DRUMMOND
539,145.14612100029,-37.8951759987867,MONASH FWY/BLACKBURN O/B
3409,144.985044999979,-37.8241459990201,OLYMPIC BLVD/RECTANGULAR STADIUM EAST AC
5238,144.708581000006,-37.8787509992071,OLD GEELONG/FIAT DEALERSHIP ENT
6334,145.355925000506,-36.3924319995481,ECHUCA-MOOROOPNA NR ANN
6409,142.196254000189,-36.7104959994908,WESTERN HWY/WAWUNNA
2661,144.566338000542,-37.6942909988812,COBURNS/RICHARD
2659,144.797384999862,-37.7280369987712,TAYLORS/CARBINE
6681,145.530272999501,-38.4075329988001,BASS HWY/GRANTVILLE-GLEN ALVIE/PIER
5834,143.840978999977,-37.5866029989992,MIDLAND HWY (ALBERT) NR HERTFORD
5835,143.841073000114,-37.5992809990051,MIDLAND HWY NR VICTORIA
399,145.340419999855,-38.0492599992772,BERWICK-CRANBOURNE/BEMERSYDE (NTH)
3211,145.136360999705,-37.9288049987876,MCNAUGHTON NR TORTEVAL
4557,144.976220000226,-37.8203829993004,BATMAN NR GATE 2 MELBOURNE PARK TENNIS C
3548,144.994699000537,-37.9142019988828,CHURCH NR CARPENTER
3547,144.992335000252,-37.9121249987111,CHURCH NR ST ANDREWS
2648,144.831715000264,-37.7864179989531,HAMPSHIRE NR HARVESTER
389,145.369967000457,-37.7513389988431,MAROONDAH NR COMO
402,145.165052000531,-37.8785399992328,O'SULLIVAN NR GLENWAY ARCADE
3837,145.06491599992,-37.8267039989548,STANHOPE NR LORNE
158,145.279466000253,-37.8288049994386,CANTERBURY/BUNNINGS HARDWARE ACCESS
3009,144.989563999445,-37.8865739988005,ORMOND ESP NR PINE
2646,144.567553000376,-37.6875769989394,COBURNS/BARRIES
4637,145.056825000501,-37.9593309987025,CHESTERVILLE NR RADCLIFFE
588,145.280456000209,-37.7948799994573,WICKLOW NR TOORAK
6250,144.266885000016,-36.7357029994071,HOLDSWORTH/HOLMES/SANDHURST
6251,144.288514999933,-36.7524129993206,NAPIER NR TOMLINS ST BRIDGE
2182,144.928266999868,-37.6305679991599,DONALD CAMERON/LINCOLN/THOMAS BRUNTON
2813,144.962813999664,-37.6450669993421,COOPER/FREIGHT/REX
2059,144.789754999949,-37.7631659988575,CAIRNLEA/WOODBURN
3242,145.080122000566,-37.6562699992764,PLENTY/BUSH/DEVELOPMENT
2677,144.84934499993,-37.7672839988538,DUKE/SURREY
5659,147.624405999604,-37.8276829993053,PHE/MCCULLOCH
2893,144.848636000029,-37.8289169993297,MILLERS/BEURON
3524,144.93028400055,-37.7882449992543,RACECOURSE NR PIN OAK
3485,144.783231000509,-37.844333998925,PFW NB RAMPS/KOROROIT CREEK
509,145.293147000205,-38.0016459991667,MONASH FWY/TINKS
398,145.271347999599,-38.0741149992005,STH GIPPS'D HWY/HUON PARK/WENTWORTH
5271,144.72687399963,-37.8523329989301,SAYERS/MARQUANDS
3723,145.1426630002,-37.8947609994373,MONASH/BLACKBURN RAMP SIGNALS IB
5609,147.068247999711,-38.0964379993505,PHE NR PINE
391,145.23516599967,-37.9022259987259,STUD/CENTRE
756,145.139249999662,-38.1737279988376,MOOROODUC HWY/ROBINSONS
2792,145.031103999551,-37.6730549994434,DALTON NR DAVID
1046,144.95971199963,-37.7821279988051,ROYAL NR IEVERS
5109,144.328314000484,-38.1205779986903,VINES NR MARLO
5039,144.358367999773,-38.1465279986898,GHERINGHAP/MALOP/MERCER
2397,144.962224000174,-37.8278259994337,KINGSWAY/SOUTHERN LINK
303,145.267158000063,-38.0356789989813,HALLAM/CORAL/FORDHOLM
6827,142.464041999598,-38.3668109995518,PHW (RAGLAN PDE)/MORRISS
6828,142.468519000068,-38.3694559995405,PHW (RAGLAN PDE)/LAVEROCK
5231,144.317633999736,-38.3266169989903,SURF COAST HWY NR BEACH
964,145.225057000429,-38.0332969990795,ABBOTTS/CLELANDS DEVELOPMENTS
508,145.338180000297,-38.0598929993571,CLYDE/GREAVES/O'SHEA
5117,144.35802499946,-38.1488139991998,RYRIE NR JAMES
5118,144.360561000376,-38.149536999259,RYRIE NR UNION
5881,143.844722999839,-37.5756319989084,MIDLAND HWY SKIPTON/DARLING/DRUMMOND
5119,144.354766000407,-38.1394969987131,MERCER NR GINN
5273,144.737423,-37.8752259990054,PFW/FORSYTH
2014,145.244812000464,-37.8749799986672,HIGH ST RD/TYNER
107,145.260270999499,-37.7934099991377,MAROONDAH/KALLAY/BRENTNALL
6814,142.493489999487,-38.3673349988359,HOPKINS HWY / HAYLEY / NORTHPOINT SC
4638,145.109326000342,-37.9861629989502,BOUNDARY / LOWER DANDENONG
4438,144.994785000311,-37.8493869993707,LITTLE CHAPEL NR PRINCES
4442,144.994758000436,-37.8469499987367,BRAY NR GREY
6290,144.316158000288,-36.705154999329,MIDLAND HWY/HOWARD
3741,145.05561600012,-37.7044739988658,PLENTY/MT COOPER
1011,144.922660000483,-37.7799489990335,ASCOT VALE/KENT
2673,144.817196000371,-37.7904269994925,GLENGALA BTN SIMMIE & OLDFIELD
6235,144.258692000513,-36.7258769991371,LODDON VALLEY/SANDHURST
4150,145.006375999671,-37.8302779987311,BURNLEY/BARKLY/CITYLINK OFF RAMPS
803,145.244148999517,-37.9265499990048,WELLINGTON/TAYLORS
4558,144.986708999841,-37.824341999349,OLYMPIC BLVD(SWAN)/TRAM ACCESS
2193,144.945480999605,-37.5394769992302,DONNYBROOK/HUME FWY NB RAMPS
5164,144.367589999908,-38.1793299986718,BREAKWATER/FELLMONGERS
507,145.121347999904,-38.0709569989871,NEPEAN HWY/STATION
3047,144.874065000091,-37.7522189987431,BUCKLEY/DICKSON
6081,145.402228000436,-36.3574599990395,GVH/PINE/BRAUMAN
2352,145.065273999529,-37.9750049990323,NEPEAN HWY NR LATROBE
5610,147.06880999945,-38.093563999425,PHE/SALE-MAFFRA
3917,144.995189999448,-37.8416319987754,CHAPEL/PALERMO
