OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI,geometry
45042,,,5168,BARWON HEADS ROAD/WARALILY BVD,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.377875000086 -38.2366569988309)
45043,,,2015,MELBOURNE NR HOBART (KNOX CITY),POS,,,,,,,,OPERATIONAL,,,,,POINT (145.24197400045 -37.8692499992282)
45044,,,6273,MITCHELL/QUEEN,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.280338999791 -36.7613119990048)
45045,,,520,MOOROODUC/SAGES,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (145.133708999782 -38.1956659988826)
45046,,,3629,CHURCHILL NR BRAYBROOK COMMUNITY CENTRE,POS,,,,,,,,OPERATIONAL,,,,,POINT (144.853383999994 -37.7861339994886)
45047,,,3170,STH GIPPS'D HWY (HIGHST) NR CHILDERS,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,POINT (145.283073000461 -38.1115369990355)
45048,,,3171,STH GIPPS'D HWY (HIGH) NR LYALL,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,POINT (145.283487000277 -38.1092949988792)
45049,,,550,EASTBOURNE RD/VILLAGE GLEN DR,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.879111000335 -38.3672059988917)
45050,,,3486,WILLIAMSTOWN/SHOPPING CENTRE ENT,INT,,,,,,,,OPERATIONAL,MICROCEL,,,,POINT (144.882678999933 -37.8169509990932)
45051,,,516,SEAFORD/WELLS,INT,,,,,,,,OPERATIONAL,"ASB WARN,Bluetooth",,,,POINT (145.136270000339 -38.1089339992953)
45052,,,3259,MURRAY/NORTHLAND SHOP EAST ACCESS RD,INT,,,,,,,,OPERATIONAL,MICROCEL,,,,POINT (145.027710999581 -37.7406289991995)
45053,,,3612,PASCOE VALE/TAGGERTY CRES STH,INT,,,,,,,,OPERATIONAL,MICROCEL,,,,POINT (144.922434000295 -37.6624669989102)
45054,,,3487,WILLIAMSTOWN NR THOMAS,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,POINT (144.88143700001 -37.8234489990964)
45055,,,4160,ST GEORGES NR KEMP,POS,,,,,,,,OPERATIONAL,,,,,POINT (144.99294299952 -37.761825999483)
45056,,,395,HUTTON/CHAPEL,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (145.159187000263 -38.0127869991054)
45057,,,495,HUTTON/GREEN/PERRY,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (145.171278999637 -38.0114969990627)
45058,,,6258,CALDER HWY NR CAMP,POS,,,,,,,,OPERATIONAL,,,,,POINT (144.244077000061 -36.7962409988957)
45059,,,2855,GLADSTONE PARK NR BELMONT,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (144.883619000413 -37.6886059992944)
45060,,,6234,CALDER HWY NR VERDON ST,POS,,,,,,,,OPERATIONAL,PELICAN,,,,POINT (143.868051999848 -36.5754119995012)
45061,,,3443,CENTRE NR GILBERT,POS,,,,,,,,OPERATIONAL,"ASB WARN,Bluetooth",,,,POINT (145.032066000268 -37.9176579990206)
45062,,,5047,WESTERN BEACH NR GINN,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (144.355793000298 -38.138647998806)
45063,,,965,STH GIPPSLAND HWY/WATERVIEW,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.239141999989 -38.0209239994225)
45064,,,827,FERNTREE GULLY/WINDERMERE,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.262922000192 -37.8884679993682)
45065,,,2839,CAMBERWELL NR EVANS,POS,,,,,,,,OPERATIONAL,,,,,POINT (145.05596399946 -37.830684998994)
45066,,,513,BEACONSFIELD-BERWICK/B'FIELD-EMERALD,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (145.36674800018 -38.0441309987973)
45067,,,514,CRANBOURNE-FRANKSTON/UNION/PINDARA,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.195116999946 -38.1507119994157)
45068,,,805,GEORGE/CHURCH,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.139219999631 -37.7794169994554)
45069,,,396,NARRE WARREN NTH/MARAMBA,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.310423999998 -38.0079839994751)
45070,,,7093,AQUEDUCT/ST HELENA SHOP CENTRE,INT,,,,,,,,OPERATIONAL,,,,,POINT (147.382081000173 -37.6984429994081)
45071,,,301,PLYMOUTH/YARRA,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.274055000521 -37.7835699990111)
45072,,,4489,WESTGATE FWY/POWER,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,POINT (144.965826000198 -37.8267579991945)
45073,,,820,MONBULK/CLEGG,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (145.38789599956 -37.7900099991759)
45074,,,2465,JOHNSTON O/H LANE W CLARKE GANTRY 15,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (145.001941999598 -37.8007199991971)
45075,,,2466,JOHNSTON O/H LANE E CLARKE GANTRY 16,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (145.002421999878 -37.8007649994855)
45076,,,2444,QUEENS O'HEAD S KINGSWAY GANTRY 01,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.973321000002 -37.8367509988501)
45077,,,2456,JOHNSTON O/H LANE W HARMSWORTH GANTRY 6,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.990760000434 -37.7996229989992)
45078,,,2457,JOHNSTON O/H LANE W SYDNEY GANTRY 7,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.992196999853 -37.7997659993966)
45079,,,2458,JOHNSTON O/H LANE E HODDLE GANTRY 8,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.993276000283 -37.7998739993667)
45080,,,2459,JOHNSTON O/H LANE W PARK GANTRY 9,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.995174999575 -37.8000589995544)
45081,,,2460,JOHNSTON O/H LANE E PARK GANTRY 10,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.995572999667 -37.8000969987591)
45082,,,2461,JOHNSTON O/H LANE E RICH GANTRY 11,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.997220999626 -37.8002579991798)
45083,,,2462,JOHNSTON O/H LANE E HUNTER GANTRY 12,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.998574000555 -37.8003899991488)
45084,,,2463,JOHNSTON O/H LANE W TRENERRY GANTRY 13,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.99972900032 -37.8005039994219)
45085,,,302,CRANBOURNE-FRANK/SOUTHGATEWAY,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.19665000046 -38.1492249989657)
45086,,,3281,HUNTINGDALE NR ESTELLE,POS,,,,,,,,OPERATIONAL,,,,,POINT (145.106998999861 -37.8927359988551)
45087,,,2518,SUNSHINE/ROBERTS,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.87166899974 -37.8006239992124)
45088,,,2791,KEILOR NR COOPER,POS,,,,,,,,OPERATIONAL,,,,,POINT (144.899491999764 -37.7401709991382)
45089,,,109,SWANSEA/HULL,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.363422999852 -37.7764509992103)
45090,,,1558,WGF 130m West of Williamstown Rd O/B,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.883789999931 -37.8253639987433)
45091,,,2486,CHADSTONE SHOPPING CENTRE POS AT ENT 1,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,POINT (145.078689999589 -37.8874399989738)
45092,,,963,CHELTENHAM/PARKMORE SHOP CENTRE,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.172622999674 -37.9941409989511)
45093,,,5657,PHE/BAILEY,INT,,,,,,,,OPERATIONAL,DIDO,,,,POINT (147.632011000132 -37.8260319994361)
45094,,,1100,MAROONDAH HWY/EASTLINK,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,POINT (145.217350000459 -37.817105998875)
45095,,,1101,MAROONDAH HWY/HILLCREST/CARPARK,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.215096000291 -37.8173719994581)
45096,,,4224,SWAN/YARRA/AMRAD,INT,,,,,,,,OPERATIONAL,PUFFIN,,,,POINT (145.020154000205 -37.8265079995115)
45097,,,5268,SAYERS/MORRIS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (144.706347999545 -37.8505319988131)
45098,,,403,NARRE WARREN NTH/MAGID/RYELANDS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (145.309269999673 -38.0138859993955)
45099,,,4434,FOOTSCRAY/WATERFRONT WAY,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.939097000188 -37.8105229989652)
45100,,,4435,FOOTSCRAY/WESTERN LINK STH-BND OFF RAMP,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (144.935965999442 -37.8095089995267)
45101,,,336,BARKLY/RAILWAY/RING,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.040741999867 -38.2203669994999)
45102,,,3079,UPPER HEIDELBERG NR IVANHOE,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,POINT (145.044641000218 -37.7669839991912)
45103,,,2799,AMIS BTN VISTA & BUCKLEY,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (144.860221000324 -37.749348999316)
45104,,,3138,CANTERBURY/SURREY,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.115199000173 -37.8279879993734)
45105,,,5301,PAKINGTON/NICHOLAS,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.345342999833 -38.1563179987431)
45106,,,241,THOMPSON NR GLADESVILLE,POS,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (145.143340999773 -38.0685989990398)
45107,,,3639,OLD DANDENONG/BOURKE,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.090829000103 -37.9397829987986)
45108,,,3405,DYNON/DOCK LINK,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (144.917100999566 -37.801761999138)
45109,,,478,VIRGINIA NR STEPHENSONS,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (145.128625000161 -37.877967999107)
45110,,,2647,BOUNDARY/PLUMMER/SPENCER,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.810367999459 -37.8155289989836)
45111,,,3760,MELBOURNE NR WILKINS,POS,,,,,,,,OPERATIONAL,"DIDO,PUFFIN,WCHAIR",,,,POINT (144.885490000541 -37.8459529993942)
45112,,,6682,GREY BTN FRANKLIN & WRIGHT,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (146.539677999451 -38.1934309992651)
45113,,,6683,FRANKLIN NR POST OFFICE PLACE,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (146.538092999549 -38.1954359987153)
45114,,,6684,SEYMOUR BTN FRANKLIN & CHURCH,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (146.536679999469 -38.1961089990202)
45115,,,5670,NICHOLSON BTN RAYMOND & LOCHIEL,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (148.453753000251 -37.7093989991822)
45116,,,3567,MURRUMBEENA/KANGAROO,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (145.065109999787 -37.8971249994797)
45117,,,304,FRANKSTON-DANDENONG/ABBOTTS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (145.211947999784 -38.0316599992706)
45118,,,3507,KOROROIT CREEK NR ADELINE,POS,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (144.881869999658 -37.8571349993867)
45119,,,401,NARRE WARREN NTH/ERNST WANKE,INT,,,,,,,,OPERATIONAL,"Bluetooth,SAFECAM,SRLC",,,,POINT (145.312828000383 -37.9967019993713)
45120,,,6408,WESTERN HWY/WILLIAMS/DUFF,INT,,,,,,,,OPERATIONAL,"Bluetooth,DIDO",,,,POINT (142.204979000191 -36.7260869994053)
45121,,,2670,FURLONG NR CAMPERDOWN,POS,,,,,,,,OPERATIONAL,,,,,POINT (144.823464000008 -37.7616999988395)
45122,,,2671,FURLONG NR FORD,POS,,,,,,,,OPERATIONAL,PELICAN,,,,POINT (144.828619999468 -37.7623539990797)
45123,,,2672,MCKECHNIE BTN MARSDEN & ENA,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (144.799820000471 -37.7454849993811)
45124,,,4654,VICTORIA/RIVER,INT,,,,,,,,OPERATIONAL,TRAM PRI,,,,POINT (145.013490000191 -37.8118359990166)
45125,,,757,YOUNG NR WELLS,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (145.12514200035 -38.144021999337)
45126,,,943,SPRINGVALE/SPOTLIGHT CENTRE,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.155597999871 -37.9340239987388)
45127,,,445,PHE/OVERLAND,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.30110999983 -38.0222799991667)
45128,,,308,POINT NEPEAN/HYGEIA,INT,,,,,,,,OPERATIONAL,DUST,,,,POINT (144.830858999615 -38.3710649991373)
45129,,,4515,LATROBE NR HARBOUR,POS,,,,,,,,OPERATIONAL,TRAM PRI,,,,POINT (144.945934000412 -37.8147289993986)
45130,,,5048,YARRA/EASTERN BEACH,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.36455499962 -38.1451429989885)
45131,,,4527,WURUNDJERI/TELSTRA DOME N/E ENTRANCE,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.947160999909 -37.8135519989561)
45132,,,3417,ELGIN/DRUMMOND,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.968773999455 -37.7972929992047)
45133,,,539,MONASH FWY/BLACKBURN O/B,RAMP MTR,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (145.14612100029 -37.8951759987867)
45134,,,3409,OLYMPIC BLVD/RECTANGULAR STADIUM EAST AC,INT,,,,,,,,OPERATIONAL,EVP,,,,POINT (144.985044999979 -37.8241459990201)
45135,,,5238,OLD GEELONG/FIAT DEALERSHIP ENT,INT,,,,,,,,OPERATIONAL,DUST,,,,POINT (144.708581000006 -37.8787509992071)
45136,,,6334,ECHUCA-MOOROOPNA NR ANN,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (145.355925000506 -36.3924319995481)
45137,,,6409,WESTERN HWY/WAWUNNA,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (142.196254000189 -36.7104959994908)
45138,,,2661,COBURNS/RICHARD,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.566338000542 -37.6942909988812)
45139,,,2659,TAYLORS/CARBINE,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.797384999862 -37.7280369987712)
45140,,,6681,BASS HWY/GRANTVILLE-GLEN ALVIE/PIER,INT,,,,,,,,OPERATIONAL,"DUST,PTS_SIGN",,,,POINT (145.530272999501 -38.4075329988001)
45141,,,5834,MIDLAND HWY (ALBERT) NR HERTFORD,POS,,,,,,,,OPERATIONAL,"Bluetooth,DUST",,,,POINT (143.840978999977 -37.5866029989992)
45142,,,5835,MIDLAND HWY NR VICTORIA,POS,,,,,,,,OPERATIONAL,"Bluetooth,DUST",,,,POINT (143.841073000114 -37.5992809990051)
45143,,,399,BERWICK-CRANBOURNE/BEMERSYDE (NTH),INT,,,,,,,,OPERATIONAL,,,,,POINT (145.340419999855 -38.0492599992772)
45144,,,3211,MCNAUGHTON NR TORTEVAL,POS,,,,,,,,OPERATIONAL,,,,,POINT (145.136360999705 -37.9288049987876)
45145,,,4557,BATMAN NR GATE 2 MELBOURNE PARK TENNIS C,POS,,,,,,,,OPERATIONAL,ASB WARN,,,,POINT (144.976220000226 -37.8203829993004)
45146,,,3548,CHURCH NR CARPENTER,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (144.994699000537 -37.9142019988828)
45147,,,3547,CHURCH NR ST ANDREWS,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (144.992335000252 -37.9121249987111)
45148,,,2648,HAMPSHIRE NR HARVESTER,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (144.831715000264 -37.7864179989531)
45149,,,389,MAROONDAH NR COMO,POS,,,,,,,,OPERATIONAL,,,,,POINT (145.369967000457 -37.7513389988431)
45150,,,402,O'SULLIVAN NR GLENWAY ARCADE,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (145.165052000531 -37.8785399992328)
45151,,,3837,STANHOPE NR LORNE,POS,,,,,,,,OPERATIONAL,ASB WARN,,,,POINT (145.06491599992 -37.8267039989548)
45152,,,158,CANTERBURY/BUNNINGS HARDWARE ACCESS,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.279466000253 -37.8288049994386)
45153,,,3009,ORMOND ESP NR PINE,POS,,,,,,,,OPERATIONAL,,,,,POINT (144.989563999445 -37.8865739988005)
45154,,,2646,COBURNS/BARRIES,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.567553000376 -37.6875769989394)
45155,,,4637,CHESTERVILLE NR RADCLIFFE,POS,,,,,,,,OPERATIONAL,,,,,POINT (145.056825000501 -37.9593309987025)
45156,,,588,WICKLOW NR TOORAK,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (145.280456000209 -37.7948799994573)
45157,,,6250,HOLDSWORTH/HOLMES/SANDHURST,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (144.266885000016 -36.7357029994071)
45158,,,6251,NAPIER NR TOMLINS ST BRIDGE,POS,,,,,,,,OPERATIONAL,"DUST,PELICAN",,,,POINT (144.288514999933 -36.7524129993206)
45159,,,2182,DONALD CAMERON/LINCOLN/THOMAS BRUNTON,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.928266999868 -37.6305679991599)
45160,,,2813,COOPER/FREIGHT/REX,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.962813999664 -37.6450669993421)
45161,,,2059,CAIRNLEA/WOODBURN,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.789754999949 -37.7631659988575)
45162,,,3242,PLENTY/BUSH/DEVELOPMENT,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (145.080122000566 -37.6562699992764)
45163,,,2677,DUKE/SURREY,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.84934499993 -37.7672839988538)
45164,,,5659,PHE/MCCULLOCH,INT,,,,,,,,OPERATIONAL,DIDO,,,,POINT (147.624405999604 -37.8276829993053)
45165,,,2893,MILLERS/BEURON,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.848636000029 -37.8289169993297)
45166,,,3524,RACECOURSE NR PIN OAK,POS,,,,,,,,OPERATIONAL,"PELICAN,PUFFIN,TRAM PRI",,,,POINT (144.93028400055 -37.7882449992543)
45167,,,3485,PFW NB RAMPS/KOROROIT CREEK,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,POINT (144.783231000509 -37.844333998925)
45168,,,509,MONASH FWY/TINKS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (145.293147000205 -38.0016459991667)
45169,,,398,STH GIPPS'D HWY/HUON PARK/WENTWORTH,INT,,,,,,,,OPERATIONAL,AMBU LNK,,,,POINT (145.271347999599 -38.0741149992005)
45170,,,5271,SAYERS/MARQUANDS,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.72687399963 -37.8523329989301)
45171,,,3723,MONASH/BLACKBURN RAMP SIGNALS IB,RAMP MTR,,,,,,,,OPERATIONAL,"Bluetooth,RAMP SGN",,,,POINT (145.1426630002 -37.8947609994373)
45172,,,5609,PHE NR PINE,POS,,,,,,,,OPERATIONAL,DUST,,,,POINT (147.068247999711 -38.0964379993505)
45173,,,391,STUD/CENTRE,INT,,,,,,,,OPERATIONAL,FIRE LNK,,,,POINT (145.23516599967 -37.9022259987259)
45174,,,756,MOOROODUC HWY/ROBINSONS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (145.139249999662 -38.1737279988376)
45175,,,2792,DALTON NR DAVID,POS,,,,,,,,OPERATIONAL,,,,,POINT (145.031103999551 -37.6730549994434)
45176,,,1046,ROYAL NR IEVERS,POS,,,,,,,,OPERATIONAL,"PUFFIN,TRAM PRI",,,,POINT (144.95971199963 -37.7821279988051)
45177,,,5109,VINES NR MARLO,POS,,,,,,,,OPERATIONAL,PELICAN,,,,POINT (144.328314000484 -38.1205779986903)
45178,,,5039,GHERINGHAP/MALOP/MERCER,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.358367999773 -38.1465279986898)
45179,,,2397,KINGSWAY/SOUTHERN LINK,INT,,,,,,,,OPERATIONAL,TRAM PRI,,,,POINT (144.962224000174 -37.8278259994337)
45180,,,303,HALLAM/CORAL/FORDHOLM,INT,,,,,,,,OPERATIONAL,"PARTFCRT,SRLC",,,,POINT (145.267158000063 -38.0356789989813)
45181,,,6827,PHW (RAGLAN PDE)/MORRISS,INT,,,,,,,,OPERATIONAL,TIME CLK,,,,POINT (142.464041999598 -38.3668109995518)
45182,,,6828,PHW (RAGLAN PDE)/LAVEROCK,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (142.468519000068 -38.3694559995405)
45183,,,5231,SURF COAST HWY NR BEACH,POS,,,,,,,,OPERATIONAL,DIDO,,,,POINT (144.317633999736 -38.3266169989903)
45184,,,964,ABBOTTS/CLELANDS DEVELOPMENTS,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.225057000429 -38.0332969990795)
45185,,,508,CLYDE/GREAVES/O'SHEA,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (145.338180000297 -38.0598929993571)
45186,,,5117,RYRIE NR JAMES,POS,,,,,,,,OPERATIONAL,PELICAN,,,,POINT (144.35802499946 -38.1488139991998)
45187,,,5118,RYRIE NR UNION,POS,,,,,,,,OPERATIONAL,PELICAN,,,,POINT (144.360561000376 -38.149536999259)
45188,,,5881,MIDLAND HWY SKIPTON/DARLING/DRUMMOND,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (143.844722999839 -37.5756319989084)
45189,,,5119,MERCER NR GINN,POS,,,,,,,,OPERATIONAL,PELICAN,,,,POINT (144.354766000407 -38.1394969987131)
45190,,,5273,PFW/FORSYTH,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (144.737423 -37.8752259990054)
45191,,,2014,HIGH ST RD/TYNER,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.244812000464 -37.8749799986672)
45192,,,107,MAROONDAH/KALLAY/BRENTNALL,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.260270999499 -37.7934099991377)
45193,,,6814,HOPKINS HWY / HAYLEY / NORTHPOINT SC,INT,,,,,,,,OPERATIONAL,"Bluetooth,PARTFCRT",,,,POINT (142.493489999487 -38.3673349988359)
45194,,,4638,BOUNDARY / LOWER DANDENONG,POS,,,,,,,,OPERATIONAL,"Bluetooth,PUFFIN",,,,POINT (145.109326000342 -37.9861629989502)
45195,,,4438,LITTLE CHAPEL NR PRINCES,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (144.994785000311 -37.8493869993707)
45196,,,4442,BRAY NR GREY,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (144.994758000436 -37.8469499987367)
45197,,,6290,MIDLAND HWY/HOWARD,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (144.316158000288 -36.705154999329)
45198,,,3741,PLENTY/MT COOPER,INT,,,,,,,,OPERATIONAL,TRAM PRI,,,,POINT (145.05561600012 -37.7044739988658)
45199,,,1011,ASCOT VALE/KENT,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.922660000483 -37.7799489990335)
45200,,,2673,GLENGALA BTN SIMMIE & OLDFIELD,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (144.817196000371 -37.7904269994925)
45201,,,6235,LODDON VALLEY/SANDHURST,INT,,,,,,,,OPERATIONAL,"Bluetooth,DUST,PTS_SIGN",,,,POINT (144.258692000513 -36.7258769991371)
45202,,,4150,BURNLEY/BARKLY/CITYLINK OFF RAMPS,INT,,,,,,,,OPERATIONAL,"ASB WARN,Bluetooth",,,,POINT (145.006375999671 -37.8302779987311)
45203,,,803,WELLINGTON/TAYLORS,INT,,,,,,,,OPERATIONAL,"Bluetooth,FIRE LNK",,,,POINT (145.244148999517 -37.9265499990048)
45204,,,4558,OLYMPIC BLVD(SWAN)/TRAM ACCESS,INT,,,,,,,,OPERATIONAL,EVP,,,,POINT (144.986708999841 -37.824341999349)
45205,,,2193,DONNYBROOK/HUME FWY NB RAMPS,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.945480999605 -37.5394769992302)
45206,,,5164,BREAKWATER/FELLMONGERS,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.367589999908 -38.1793299986718)
45207,,,507,NEPEAN HWY/STATION,INT,,,,,,,,OPERATIONAL,RAIL LNK,,,,POINT (145.121347999904 -38.0709569989871)
45208,,,3047,BUCKLEY/DICKSON,INT,,,,,,,,OPERATIONAL,BUS PRI,,,,POINT (144.874065000091 -37.7522189987431)
45209,,,6081,GVH/PINE/BRAUMAN,INT,,,,,,,,OPERATIONAL,Bluetooth,,,,POINT (145.402228000436 -36.3574599990395)
45210,,,2352,NEPEAN HWY NR LATROBE,POS,,,,,,,,OPERATIONAL,,,,,POINT (145.065273999529 -37.9750049990323)
45211,,,5610,PHE/SALE-MAFFRA,INT,,,,,,,,OPERATIONAL,DUST,,,,POINT (147.06880999945 -38.093563999425)
45212,,,3917,CHAPEL/PALERMO,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.995189999448 -37.8416319987754)
45213,,,2519,PHW/CEMETERY,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.85983400042 -37.8138159987431)
45214,,,3644,KINGSTON/BALL/ST ANDREWS,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.083548999783 -37.9539469987805)
45215,,,6451,CALDER HWY/KARADOC,INT,,,,,,,,OPERATIONAL,"Bluetooth,DIDO",,,,POINT (142.165885999542 -34.2314169992389)
45216,,,4108,GLEN EIRA NR ST GEORGES,POS,,,,,,,,OPERATIONAL,,,,,POINT (145.004653000165 -37.8777409987372)
45217,,,2464,JOHNSTON O/H LANE E TRENERRY 14,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (145.000155000282 -37.8005449991581)
45218,,,6075,GVH (WYNDHAM) / VAUGHAN,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.398849999948 -36.3831459987059)
45219,,,2589,HUME DRIVE/COPPERFIELD,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.771016999495 -37.7100609993861)
45220,,,3759,NORTH NR HALL,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (144.884737999702 -37.8448009989723)
45221,,,1153,WHEELER NR WILSON,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (145.348147999639 -38.0302399989481)
45222,,,1155,HAWTHORN NR AUTUMN,FLASH PX,,,,,,,,OPERATIONAL,,,,,POINT (145.240272000418 -37.9946169995099)
45223,,,1102,CANTERBURY/EASTLINK,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,POINT (145.216982999433 -37.8323839990689)
45224,,,1103,BURWOOD HWY/EASTLINK,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,POINT (145.211129999758 -37.8612089990961)
45225,,,1104,BORONIA/EASTLINK,INT,,,,,,,,OPERATIONAL,RAMP SGN,,,,POINT (145.216330999792 -37.8461749986876)
45226,,,1123,DORSET/CLIPSAL,INT,,,,,,,,OPERATIONAL,,,,,POINT (145.287316999613 -37.8320979995404)
