OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI,geometry
49556,,,1642,WGF 350m East of Grieve Pde Bridge I/B,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.83601199963 -37.8253309992267)
49557,,,1643,WGF 500m East of Princes Hwy Bridge O/B,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.82737599946 -37.8254309994674)
49558,,,1644,WGF 300m East of Princes Hwy Bridge I/B,OH LANE,,,,,,,,OPERATIONAL,SAFECAM,,,,POINT (144.82737599946 -37.8254309994674)
49559,,,1645,WGF to M80 Exit Ramp,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.822731999668 -37.8260489989726)
49560,,,1646,WGF 50m East of Prince Hwy Bridge O/B,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.822731999668 -37.8260489989726)
49561,,,1647,WGF 30m East of Princes Hwy Bridge I/B,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.821747000079 -37.825709998848)
49562,,,1648,M80 to WGF Entry Ramp,OH LANE,,,,,,,,OPERATIONAL,,,,,POINT (144.821747000079 -37.825709998848)
49563,,,1575,Thames Promenade east of Fifth Avenue,POS,,,,,,,,OPERATIONAL,PUFFIN,,,,POINT (145.13800000051 -38.044699999032)
49564,,,1581,AITKEN BLVD/ELEVATION BLVD/GOLF VIEW DR,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.909745000176 -37.6011829990704)
49565,,,5154,CORIO WAURN PONDS / SWINBURNE,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.353674999658 -38.1195409988565)
49566,,,2548,GOURLAY/HUME DRIVE,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.740750000102 -37.7101079989222)
49567,,,1303,MELBOURNE ROAD/THE AVENUE,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.881080000445 -37.827224999467)
49568,,,3647,BOARDWALK & WALLACE,INT,,,,,,,,OPERATIONAL,,,,,POINT (144.737353000407 -37.8757889988301)
