scat_number,school_count,long,lat
5168.0,0.0,144.377875000086,-38.2366569988309
2015.0,0.0,145.24197400045,-37.8692499992282
6273.0,0.0,144.280338999791,-36.7613119990048
520.0,0.0,145.133708999782,-38.1956659988826
3629.0,1.0,144.853383999994,-37.7861339994886
3170.0,2.0,145.283073000461,-38.1115369990355
3171.0,3.0,145.283487000277,-38.1092949988792
550.0,0.0,144.879111000335,-38.3672059988917
3486.0,2.0,144.882678999933,-37.8169509990932
516.0,1.0,145.136270000339,-38.1089339992953
3259.0,1.0,145.027710999581,-37.7406289991995
3612.0,0.0,144.922434000295,-37.6624669989102
3487.0,0.0,144.88143700001,-37.8234489990964
4160.0,0.0,144.99294299952,-37.761825999483
395.0,1.0,145.159187000263,-38.0127869991054
495.0,1.0,145.171278999637,-38.0114969990627
6258.0,2.0,144.244077000061,-36.7962409988957
2855.0,1.0,144.883619000413,-37.6886059992944
6234.0,1.0,143.868051999848,-36.5754119995012
3443.0,0.0,145.032066000268,-37.9176579990206
5047.0,0.0,144.355793000298,-38.138647998806
965.0,0.0,145.239141999989,-38.0209239994225
827.0,0.0,145.262922000192,-37.8884679993682
2839.0,2.0,145.05596399946,-37.830684998994
513.0,0.0,145.36674800018,-38.0441309987973
514.0,0.0,145.195116999946,-38.1507119994157
805.0,0.0,145.139219999631,-37.7794169994554
396.0,0.0,145.310423999998,-38.0079839994751
7093.0,0.0,147.382081000173,-37.6984429994081
301.0,2.0,145.274055000521,-37.7835699990111
4489.0,1.0,144.965826000198,-37.8267579991945
820.0,1.0,145.38789599956,-37.7900099991759
2465.0,1.0,145.001941999598,-37.8007199991971
2466.0,1.0,145.002421999878,-37.8007649994855
2444.0,2.0,144.973321000002,-37.8367509988501
2456.0,2.0,144.990760000434,-37.7996229989992
2457.0,1.0,144.992196999853,-37.7997659993966
2458.0,1.0,144.993276000283,-37.7998739993667
2459.0,0.0,144.995174999575,-37.8000589995544
2460.0,0.0,144.995572999667,-37.8000969987591
2461.0,0.0,144.997220999626,-37.8002579991798
2462.0,0.0,144.998574000555,-37.8003899991488
2463.0,0.0,144.99972900032,-37.8005039994219
302.0,0.0,145.19665000046,-38.1492249989657
3281.0,1.0,145.106998999861,-37.8927359988551
2518.0,0.0,144.87166899974,-37.8006239992124
2791.0,1.0,144.899491999764,-37.7401709991382
109.0,0.0,145.363422999852,-37.7764509992103
1558.0,0.0,144.883789999931,-37.8253639987433
2486.0,0.0,145.078689999589,-37.8874399989738
963.0,0.0,145.172622999674,-37.9941409989511
5657.0,0.0,147.632011000132,-37.8260319994361
1100.0,0.0,145.217350000459,-37.817105998875
1101.0,0.0,145.215096000291,-37.8173719994581
4224.0,0.0,145.020154000205,-37.8265079995115
5268.0,1.0,144.706347999545,-37.8505319988131
403.0,0.0,145.309269999673,-38.0138859993955
4434.0,1.0,144.939097000188,-37.8105229989652
4435.0,0.0,144.935965999442,-37.8095089995267
336.0,1.0,145.040741999867,-38.2203669994999
3079.0,2.0,145.044641000218,-37.7669839991912
2799.0,0.0,144.860221000324,-37.749348999316
3138.0,1.0,145.115199000173,-37.8279879993734
5301.0,2.0,144.345342999833,-38.1563179987431
241.0,1.0,145.143340999773,-38.0685989990398
3639.0,0.0,145.090829000103,-37.9397829987986
3405.0,0.0,144.917100999566,-37.801761999138
478.0,1.0,145.128625000161,-37.877967999107
2647.0,0.0,144.810367999459,-37.8155289989836
3760.0,0.0,144.885490000541,-37.8459529993942
6682.0,2.0,146.539677999451,-38.1934309992651
6683.0,2.0,146.538092999549,-38.1954359987153
6684.0,2.0,146.536679999469,-38.1961089990202
5670.0,1.0,148.453753000251,-37.7093989991822
3567.0,0.0,145.065109999787,-37.8971249994797
304.0,0.0,145.211947999784,-38.0316599992706
3507.0,1.0,144.881869999658,-37.8571349993867
401.0,1.0,145.312828000383,-37.9967019993713
6408.0,0.0,142.204979000191,-36.7260869994053
2670.0,2.0,144.823464000008,-37.7616999988395
2671.0,2.0,144.828619999468,-37.7623539990797
2672.0,0.0,144.799820000471,-37.7454849993811
4654.0,0.0,145.013490000191,-37.8118359990166
757.0,1.0,145.12514200035,-38.144021999337
943.0,1.0,145.155597999871,-37.9340239987388
