loss,mape,val_loss,val_mape
0.0038093598559498787,324584.625,0.0012721815146505833,283296.71875
0.0012444364838302135,138505.921875,0.002069699577987194,80248.671875
0.001153168617747724,114125.453125,0.0010985549306496978,51055.75390625
0.001116077066399157,104738.828125,0.001140138367190957,78036.234375
0.001092730090022087,96995.5859375,0.001085737720131874,155481.15625
0.001074379775673151,92034.6875,0.001208802219480276,115596.3125
0.0010593697661533952,87785.7890625,0.0010479369666427374,34531.3828125
0.0010506287217140198,85243.6328125,0.001050335238687694,176959.140625
0.0010413419222459197,83273.1484375,0.0011463144328445196,77361.4296875
0.0010349792428314686,81474.8984375,0.000961855985224247,68597.6484375
0.001027580350637436,79592.640625,0.0010553671745583415,73792.8125
0.0010228019673377275,78842.4375,0.0009741324465721846,38442.48828125
0.0010161316022276878,77624.5859375,0.0010014699073508382,42746.8515625
0.0010125774424523115,75261.4765625,0.0010112279560416937,82856.9296875
0.0010105936089530587,74193.1953125,0.0011151378275826573,80555.84375
0.0010089112911373377,72976.953125,0.0009919205913320184,35429.125
0.0010060275672003627,72670.9296875,0.0009749873424880207,32141.591796875
0.0010010238038375974,70548.3203125,0.0009772387566044927,36350.7890625
0.0009993930580094457,69413.3515625,0.000954700110014528,60443.24609375
0.0009981627808883786,68900.7578125,0.0009875920368358493,81784.0859375
0.0009959879098460078,67774.515625,0.0009699738584458828,91179.046875
0.0009943940676748753,67140.453125,0.0009994024876505136,150378.109375
0.000993635505437851,67382.5546875,0.0009466482442803681,43319.375
0.0009893772657960653,66998.8515625,0.0009827801259234548,105018.8984375
0.0009895693510770798,66466.7578125,0.0009894893737509847,32050.126953125
0.0009858139092102647,66601.2578125,0.0009879677090793848,74930.1015625
0.000985593069344759,65943.5234375,0.000993795576505363,114485.8984375
0.000983704230748117,66390.5859375,0.0009705343400128186,59069.81640625
0.0009830984054133296,65807.53125,0.0009529450326226652,70512.40625
0.000980945653282106,64750.09375,0.0009671616717241704,50019.0546875
